date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
1872-11-30,SCO,Scotland,ENG,England,0,0
1873-03-08,ENG,England,SCO,Scotland,4,2
1874-03-07,SCO,Scotland,ENG,England,2,1
1875-03-06,ENG,England,SCO,Scotland,2,2
1876-03-04,SCO,Scotland,ENG,England,3,0
1877-03-03,ENG,England,SCO,Scotland,1,3
1878-03-02,SCO,Scotland,ENG,England,7,2
1879-04-05,ENG,England,SCO,Scotland,5,4
1880-03-13,SCO,Scotland,ENG,England,5,4
1881-03-12,ENG,England,SCO,Scotland,1,6
1882-03-11,SCO,Scotland,ENG,England,5,1
1883-03-10,ENG,England,SCO,Scotland,2,3
1884-03-15,SCO,Scotland,ENG,England,1,0
1885-03-21,ENG,England,SCO,Scotland,1,1
1885-11-28,USA,United States,CAN,Canada,0,1
1886-03-27,SCO,Scotland,ENG,England,1,1
1886-11-25,USA,United States,CAN,Canada,3,2
1887-03-19,ENG,England,SCO,Scotland,2,3
1888-03-17,SCO,Scotland,ENG,England,0,5
1888-09-19,SCO,Scotland,CAN,Canada,4,0
1889-04-13,ENG,England,SCO,Scotland,2,3
1890-04-05,SCO,Scotland,ENG,England,1,1
1891-04-04,ENG,England,SCO,Scotland,2,1
1892-04-02,SCO,Scotland,ENG,England,1,4
1893-04-01,ENG,England,SCO,Scotland,5,2
1894-04-07,SCO,Scotland,ENG,England,2,2
1895-04-06,ENG,England,SCO,Scotland,3,0
1896-04-04,SCO,Scotland,ENG,England,2,1
1897-04-03,ENG,England,SCO,Scotland,1,2
1898-04-02,SCO,Scotland,ENG,England,1,3
1899-04-08,ENG,England,SCO,Scotland,2,1
1900-04-07,SCO,Scotland,ENG,England,4,1
1901-03-30,ENG,England,SCO,Scotland,2,2
1902-05-03,ENG,England,SCO,Scotland,2,2
1902-07-20,URU,Uruguay,ARG,Argentina,0,6
1903-04-04,ENG,England,SCO,Scotland,1,2
1903-09-13,ARG,Argentina,URU,Uruguay,2,3
1904-04-09,SCO,Scotland,ENG,England,0,1
1904-05-01,BEL,Belgium,FRA,France,3,3
1905-02-12,FRA,France,SUI,Switzerland,1,0
1905-04-01,ENG,England,SCO,Scotland,1,0
1905-04-30,BEL,Belgium,NED,Netherlands,1,4
1905-05-07,BEL,Belgium,FRA,France,7,0
1905-05-14,NED,Netherlands,BEL,Belgium,4,0
1905-08-15,ARG,Argentina,URU,Uruguay,0,0
1906-04-07,SCO,Scotland,ENG,England,2,1
1906-04-22,FRA,France,BEL,Belgium,0,5
1906-04-29,BEL,Belgium,NED,Netherlands,5,0
1906-05-13,NED,Netherlands,BEL,Belgium,2,3
1906-07-09,ARG,Argentina,RSA,South Africa,0,1
1906-08-15,URU,Uruguay,ARG,Argentina,0,2
1906-10-21,ARG,Argentina,URU,Uruguay,2,1
1907-04-06,ENG,England,SCO,Scotland,1,1
1907-04-14,BEL,Belgium,NED,Netherlands,1,3
1907-04-21,BEL,Belgium,FRA,France,1,2
1907-05-09,NED,Netherlands,BEL,Belgium,1,2
1908-03-08,SUI,Switzerland,FRA,France,1,2
1908-03-29,BEL,Belgium,NED,Netherlands,1,4
1908-04-04,SCO,Scotland,ENG,England,1,1
1908-04-05,SUI,Switzerland,GER,Germany,5,3
1908-04-12,FRA,France,BEL,Belgium,1,2
1908-04-26,NED,Netherlands,BEL,Belgium,3,1
1908-05-10,NED,Netherlands,FRA,France,4,1
1908-06-06,AUT,Austria,ENG,England,1,6
1908-06-07,AUT,Austria,GER,Germany,3,2
1908-06-08,AUT,Austria,ENG,England,1,11
1908-07-12,SWE,Sweden,NOR,Norway,11,3
1908-08-15,URU,Uruguay,ARG,Argentina,2,2
1908-09-13,ARG,Argentina,URU,Uruguay,2,1
1908-10-04,ARG,Argentina,URU,Uruguay,0,1
1908-10-23,NED,Netherlands,SWE,Sweden,2,0
1908-10-25,NED,Netherlands,SWE,Sweden,5,3
1908-10-26,BEL,Belgium,SWE,Sweden,2,1
1909-03-21,BEL,Belgium,NED,Netherlands,1,4
1909-04-03,ENG,England,SCO,Scotland,2,0
1909-04-04,GER,Germany,SUI,Switzerland,1,0
1909-04-25,NED,Netherlands,BEL,Belgium,4,1
1909-05-09,BEL,Belgium,FRA,France,5,2
1909-06-01,AUT,Austria,ENG,England,1,8
1909-08-15,ARG,Argentina,URU,Uruguay,2,1
1909-09-19,URU,Uruguay,ARG,Argentina,2,2
1909-10-10,ARG,Argentina,URU,Uruguay,3,1
1910-03-13,BEL,Belgium,NED,Netherlands,3,2
1910-04-02,SCO,Scotland,ENG,England,2,0
1910-04-03,FRA,France,BEL,Belgium,0,4
1910-04-03,SUI,Switzerland,GER,Germany,2,3
1910-04-10,NED,Netherlands,BEL,Belgium,7,0
1910-04-24,NED,Netherlands,GER,Germany,4,2
1910-05-16,GER,Germany,BEL,Belgium,0,3
1910-06-12,ARG,Argentina,URU,Uruguay,4,1
1910-08-15,URU,Uruguay,ARG,Argentina,3,1
1910-09-11,NOR,Norway,SWE,Sweden,0,4
1910-10-16,GER,Germany,NED,Netherlands,1,2
1910-11-13,ARG,Argentina,URU,Uruguay,1,1
1910-11-27,ARG,Argentina,URU,Uruguay,2,6
1911-03-19,BEL,Belgium,NED,Netherlands,1,5
1911-03-26,GER,Germany,SUI,Switzerland,6,2
1911-04-01,ENG,England,SCO,Scotland,1,1
1911-04-02,NED,Netherlands,BEL,Belgium,3,1
1911-04-23,BEL,Belgium,GER,Germany,2,1
1911-04-23,SUI,Switzerland,FRA,France,5,2
1911-04-30,BEL,Belgium,FRA,France,7,1
1911-06-18,SWE,Sweden,GER,Germany,2,4
1911-08-15,ARG,Argentina,URU,Uruguay,0,2
1911-09-17,SWE,Sweden,NOR,Norway,4,1
1911-09-17,URU,Uruguay,ARG,Argentina,2,3
1911-10-08,URU,Uruguay,ARG,Argentina,1,1
1911-10-09,GER,Germany,AUT,Austria,1,2
1911-10-22,ARG,Argentina,URU,Uruguay,2,0
1911-10-29,GER,Germany,SWE,Sweden,1,3
1911-10-29,URU,Uruguay,ARG,Argentina,3,0
1912-01-28,FRA,France,BEL,Belgium,1,1
1912-02-18,FRA,France,SUI,Switzerland,4,1
1912-02-20,BEL,Belgium,SUI,Switzerland,9,2
1912-03-10,BEL,Belgium,NED,Netherlands,1,2
1912-03-23,SCO,Scotland,ENG,England,1,1
1912-03-24,NED,Netherlands,GER,Germany,5,5
1912-04-28,NED,Netherlands,BEL,Belgium,4,3
1912-05-05,SUI,Switzerland,GER,Germany,1,2
1912-06-16,NOR,Norway,SWE,Sweden,1,2
1912-06-29,AUT,Austria,GER,Germany,5,1
1912-06-29,SWE,Sweden,NED,Netherlands,3,4
1912-06-30,NED,Netherlands,AUT,Austria,3,1
1912-07-01,AUT,Austria,NOR,Norway,1,0
1912-08-15,URU,Uruguay,ARG,Argentina,2,0
1912-08-25,URU,Uruguay,ARG,Argentina,3,0
1912-09-22,ARG,Argentina,URU,Uruguay,0,1
1912-10-06,ARG,Argentina,URU,Uruguay,3,3
1912-11-03,SWE,Sweden,NOR,Norway,4,2
1912-11-17,GER,Germany,NED,Netherlands,2,3
1912-12-01,URU,Uruguay,ARG,Argentina,1,3
1913-02-16,BEL,Belgium,FRA,France,3,0
1913-03-09,BEL,Belgium,NED,Netherlands,3,3
1913-03-09,SUI,Switzerland,FRA,France,1,4
1913-04-05,ENG,England,SCO,Scotland,1,0
1913-04-20,NED,Netherlands,BEL,Belgium,2,4
1913-05-04,SUI,Switzerland,BEL,Belgium,1,2
1913-05-18,GER,Germany,SUI,Switzerland,1,2
1913-06-08,SWE,Sweden,NOR,Norway,9,0
1913-06-15,ARG,Argentina,URU,Uruguay,1,1
1913-07-09,ARG,Argentina,URU,Uruguay,2,1
1913-08-15,ARG,Argentina,URU,Uruguay,4,0
1913-08-31,ARG,Argentina,URU,Uruguay,2,0
1913-10-05,URU,Uruguay,ARG,Argentina,1,0
1913-10-26,NOR,Norway,SWE,Sweden,1,1
1913-10-26,URU,Uruguay,ARG,Argentina,1,0
1913-11-02,BEL,Belgium,SUI,Switzerland,2,0
1913-11-23,BEL,Belgium,GER,Germany,6,2
1914-01-25,FRA,France,BEL,Belgium,4,3
1914-03-08,FRA,France,SUI,Switzerland,2,2
1914-03-15,BEL,Belgium,NED,Netherlands,2,4
1914-04-04,SCO,Scotland,ENG,England,3,1
1914-04-05,NED,Netherlands,GER,Germany,4,4
1914-04-26,NED,Netherlands,BEL,Belgium,4,2
1914-06-28,NOR,Norway,SWE,Sweden,0,1
1914-08-30,URU,Uruguay,ARG,Argentina,3,2
1914-09-13,ARG,Argentina,URU,Uruguay,2,1
1914-09-20,ARG,Argentina,BRA,Brazil,3,0
1914-09-27,ARG,Argentina,BRA,Brazil,0,1
1914-10-25,SWE,Sweden,NOR,Norway,7,0
1915-06-27,NOR,Norway,SWE,Sweden,1,1
1915-07-18,URU,Uruguay,ARG,Argentina,2,3
1915-08-15,ARG,Argentina,URU,Uruguay,2,1
1915-09-12,URU,Uruguay,ARG,Argentina,2,0
1915-10-24,SWE,Sweden,NOR,Norway,5,2
1916-07-02,SWE,Sweden,NOR,Norway,6,0
1916-07-10,ARG,Argentina,BRA,Brazil,1,1
1916-07-12,BRA,Brazil,URU,Uruguay,1,2
1916-07-17,ARG,Argentina,URU,Uruguay,0,0
1916-07-18,URU,Uruguay,BRA,Brazil,0,1
1916-08-15,ARG,Argentina,URU,Uruguay,3,1
1916-08-15,URU,Uruguay,ARG,Argentina,1,2
1916-08-20,SWE,Sweden,USA,United States,2,3
1916-09-03,NOR,Norway,USA,United States,1,1
1916-10-01,ARG,Argentina,URU,Uruguay,7,2
1916-10-01,NOR,Norway,SWE,Sweden,0,0
1916-10-01,URU,Uruguay,ARG,Argentina,0,1
1916-10-29,URU,Uruguay,ARG,Argentina,3,1
1917-07-18,URU,Uruguay,ARG,Argentina,0,2
1917-08-15,ARG,Argentina,URU,Uruguay,1,0
1917-08-19,SWE,Sweden,NOR,Norway,3,3
1917-09-02,URU,Uruguay,ARG,Argentina,1,0
1917-09-16,NOR,Norway,SWE,Sweden,0,2
1917-10-03,ARG,Argentina,BRA,Brazil,4,2
1917-10-07,URU,Uruguay,BRA,Brazil,4,0
1917-10-14,URU,Uruguay,ARG,Argentina,1,0
1917-10-16,URU,Uruguay,BRA,Brazil,3,1
1917-12-23,SUI,Switzerland,AUT,Austria,0,1
1917-12-26,SUI,Switzerland,AUT,Austria,3,2
1918-05-09,AUT,Austria,SUI,Switzerland,5,1
1918-05-26,SWE,Sweden,NOR,Norway,2,0
1918-07-18,URU,Uruguay,ARG,Argentina,1,1
1918-07-28,URU,Uruguay,ARG,Argentina,3,1
1918-08-15,ARG,Argentina,URU,Uruguay,0,0
1918-08-25,ARG,Argentina,URU,Uruguay,2,1
1918-09-15,NOR,Norway,SWE,Sweden,2,1
1918-09-20,URU,Uruguay,ARG,Argentina,1,1
1918-09-29,ARG,Argentina,URU,Uruguay,2,0
1919-03-09,BEL,Belgium,FRA,France,2,2
1919-05-11,PAR,Paraguay,ARG,Argentina,1,5
1919-05-13,ARG,Argentina,URU,Uruguay,2,3
1919-05-15,PAR,Paraguay,ARG,Argentina,0,3
1919-05-18,BRA,Brazil,ARG,Argentina,3,1
1919-05-21,PAR,Paraguay,ARG,Argentina,1,2
1919-05-24,PAR,Paraguay,ARG,Argentina,1,2
1919-05-26,BRA,Brazil,URU,Uruguay,2,2
1919-05-29,BRA,Brazil,URU,Uruguay,1,0
1919-06-01,BRA,Brazil,ARG,Argentina,3,3
1919-06-09,NED,Netherlands,SWE,Sweden,3,1
1919-06-25,USA,United States,CAN,Canada,5,4
1919-06-26,BEL,Belgium,CAN,Canada,5,2
1919-06-28,BEL,Belgium,USA,United States,7,0
1919-06-29,NOR,Norway,SWE,Sweden,4,3
1919-07-18,URU,Uruguay,ARG,Argentina,4,1
1919-08-24,SWE,Sweden,NED,Netherlands,4,1
1919-08-24,URU,Uruguay,ARG,Argentina,2,1
1919-08-31,NOR,Norway,NED,Netherlands,1,1
1919-09-07,ARG,Argentina,URU,Uruguay,1,2
1919-09-14,SWE,Sweden,NOR,Norway,1,5
1919-10-19,ARG,Argentina,URU,Uruguay,6,1
1919-12-07,URU,Uruguay,ARG,Argentina,4,2
1920-02-29,SUI,Switzerland,FRA,France,0,2
1920-03-28,FRA,France,BEL,Belgium,2,1
1920-04-10,ENG,England,SCO,Scotland,5,4
1920-05-16,SUI,Switzerland,NED,Netherlands,2,1
1920-06-06,SWE,Sweden,SUI,Switzerland,0,1
1920-06-27,NOR,Norway,SWE,Sweden,0,3
1920-06-27,SUI,Switzerland,GER,Germany,4,1
1920-07-18,URU,Uruguay,ARG,Argentina,2,0
1920-07-25,ARG,Argentina,URU,Uruguay,1,3
1920-08-08,ARG,Argentina,URU,Uruguay,1,0
1920-08-29,NED,Netherlands,SWE,Sweden,5,4
1920-08-29,BEL,Belgium,ESP,Spain,3,1
1920-08-31,BEL,Belgium,NED,Netherlands,3,0
1920-09-01,ESP,Spain,SWE,Sweden,2,1
1920-09-05,ESP,Spain,NED,Netherlands,3,1
1920-09-12,URU,Uruguay,ARG,Argentina,1,1
1920-09-18,BRA,Brazil,URU,Uruguay,0,6
1920-09-25,ARG,Argentina,BRA,Brazil,2,0
1920-09-26,AUT,Austria,GER,Germany,3,2
1920-09-26,SWE,Sweden,NOR,Norway,0,0
1921-03-06,BEL,Belgium,FRA,France,3,1
1921-03-26,AUT,Austria,SWE,Sweden,2,2
1921-04-07,PAR,Paraguay,ARG,Argentina,3,1
1921-04-09,SCO,Scotland,ENG,England,3,0
1921-04-14,PAR,Paraguay,ARG,Argentina,2,2
1921-05-01,SUI,Switzerland,AUT,Austria,2,2
1921-05-05,GER,Germany,AUT,Austria,3,3
1921-05-15,BEL,Belgium,NED,Netherlands,1,1
1921-05-21,BEL,Belgium,ENG,England,0,2
1921-06-19,NOR,Norway,SWE,Sweden,3,1
1921-07-09,CAN,Canada,SCO,Scotland,0,1
1921-07-24,SWE,Sweden,AUT,Austria,1,3
1921-09-18,SWE,Sweden,NOR,Norway,0,3
1921-10-02,ARG,Argentina,BRA,Brazil,1,0
1921-10-09,PAR,Paraguay,URU,Uruguay,2,1
1921-10-12,BRA,Brazil,PAR,Paraguay,3,0
1921-10-16,ARG,Argentina,PAR,Paraguay,3,0
1921-10-23,BRA,Brazil,URU,Uruguay,1,2
1921-10-30,ARG,Argentina,URU,Uruguay,1,0
1921-11-02,URU,Uruguay,PAR,Paraguay,4,2
1921-11-13,FRA,France,NED,Netherlands,0,5
1921-12-18,ESP,Spain,POR,Portugal,3,1
1922-01-15,FRA,France,BEL,Belgium,2,1
1922-03-26,BEL,Belgium,NED,Netherlands,4,0
1922-03-26,GER,Germany,SUI,Switzerland,2,2
1922-04-08,ENG,England,SCO,Scotland,0,1
1922-04-23,AUT,Austria,GER,Germany,0,2
1922-04-30,FRA,France,ESP,Spain,0,4
1922-05-07,NED,Netherlands,BEL,Belgium,1,2
1922-06-11,AUT,Austria,SUI,Switzerland,7,1
1922-06-11,NOR,Norway,FRA,France,7,0
1922-06-17,NZL,New Zealand,AUS,Australia,3,1
1922-06-24,NZL,New Zealand,AUS,Australia,1,1
1922-07-08,NZL,New Zealand,AUS,Australia,3,1
1922-08-23,SWE,Sweden,NOR,Norway,0,0
1922-09-24,BRA,Brazil,PAR,Paraguay,1,1
1922-09-24,NOR,Norway,SWE,Sweden,0,5
1922-10-01,BRA,Brazil,URU,Uruguay,0,0
1922-10-08,ARG,Argentina,URU,Uruguay,0,1
1922-10-12,PAR,Paraguay,URU,Uruguay,1,0
1922-10-15,BRA,Brazil,ARG,Argentina,2,0
1922-10-18,ARG,Argentina,PAR,Paraguay,2,0
1922-10-22,BRA,Brazil,ARG,Argentina,2,1
1922-10-29,BRA,Brazil,PAR,Paraguay,3,1
1922-11-06,BRA,Brazil,PAR,Paraguay,3,0
1922-11-12,URU,Uruguay,ARG,Argentina,1,0
1922-11-19,SUI,Switzerland,NED,Netherlands,5,0
1922-12-10,URU,Uruguay,ARG,Argentina,1,0
1922-12-17,ARG,Argentina,URU,Uruguay,2,2
1922-12-17,POR,Portugal,ESP,Spain,1,2
1923-01-21,SUI,Switzerland,AUT,Austria,2,0
1923-01-28,ESP,Spain,FRA,France,3,0
1923-02-04,BEL,Belgium,ESP,Spain,1,0
1923-02-25,BEL,Belgium,FRA,France,4,1
1923-03-19,ENG,England,BEL,Belgium,6,1
1923-04-02,NED,Netherlands,FRA,France,8,1
1923-04-14,SCO,Scotland,ENG,England,2,2
1923-04-22,FRA,France,SUI,Switzerland,2,2
1923-04-29,NED,Netherlands,BEL,Belgium,1,1
1923-05-10,FRA,France,ENG,England,1,4
1923-05-10,GER,Germany,NED,Netherlands,0,0
1923-05-20,ARG,Argentina,PAR,Paraguay,0,2
1923-05-21,SWE,Sweden,ENG,England,2,4
1923-05-24,SWE,Sweden,ENG,England,1,3
1923-05-25,ARG,Argentina,PAR,Paraguay,1,0
1923-06-03,SUI,Switzerland,GER,Germany,1,2
1923-06-09,AUS,Australia,NZL,New Zealand,2,1
1923-06-10,SWE,Sweden,AUT,Austria,4,2
1923-06-16,AUS,Australia,NZL,New Zealand,2,3
1923-06-21,NOR,Norway,SUI,Switzerland,2,2
1923-06-24,ARG,Argentina,URU,Uruguay,0,0
1923-06-29,SWE,Sweden,GER,Germany,2,1
1923-06-30,AUS,Australia,NZL,New Zealand,1,4
1923-07-15,ARG,Argentina,URU,Uruguay,2,2
1923-07-22,URU,Uruguay,ARG,Argentina,2,2
1923-09-16,NOR,Norway,SWE,Sweden,2,3
1923-09-30,URU,Uruguay,ARG,Argentina,0,2
1923-10-28,FRA,France,NOR,Norway,0,2
1923-10-29,ARG,Argentina,PAR,Paraguay,4,3
1923-11-01,BEL,Belgium,ENG,England,2,2
1923-11-04,GER,Germany,NOR,Norway,1,0
1923-11-04,URU,Uruguay,PAR,Paraguay,2,0
1923-11-11,BRA,Brazil,PAR,Paraguay,0,1
1923-11-18,ARG,Argentina,BRA,Brazil,2,1
1923-11-22,BRA,Brazil,PAR,Paraguay,2,0
1923-11-25,NED,Netherlands,SUI,Switzerland,4,1
1923-11-25,URU,Uruguay,BRA,Brazil,2,1
1923-12-02,ARG,Argentina,BRA,Brazil,0,2
1923-12-02,URU,Uruguay,ARG,Argentina,2,0
1923-12-09,ARG,Argentina,BRA,Brazil,2,0
1923-12-16,ESP,Spain,POR,Portugal,3,0
1924-01-13,FRA,France,BEL,Belgium,2,0
1924-01-13,GER,Germany,AUT,Austria,4,3
1924-03-23,NED,Netherlands,BEL,Belgium,1,1
1924-03-23,SUI,Switzerland,FRA,France,3,0
1924-04-12,ENG,England,SCO,Scotland,1,1
1924-04-21,NED,Netherlands,GER,Germany,0,1
1924-04-27,BEL,Belgium,NED,Netherlands,1,1
1924-05-15,PAR,Paraguay,ARG,Argentina,1,3
1924-05-17,FRA,France,ENG,England,1,3
1924-05-18,PAR,Paraguay,ARG,Argentina,2,1
1924-05-25,ARG,Argentina,URU,Uruguay,4,0
1924-05-25,URU,Uruguay,ARG,Argentina,2,0
1924-05-29,SWE,Sweden,BEL,Belgium,8,1
1924-05-29,URU,Uruguay,USA,United States,3,0
1924-06-01,FRA,France,URU,Uruguay,1,5
1924-06-01,SWE,Sweden,EGY,Egypt,5,0
1924-06-05,SUI,Switzerland,SWE,Sweden,2,1
1924-06-06,URU,Uruguay,NED,Netherlands,2,1
1924-06-07,AUS,Australia,CAN,Canada,3,2
1924-06-08,SWE,Sweden,NED,Netherlands,1,1
1924-06-09,SWE,Sweden,NED,Netherlands,3,1
1924-06-09,URU,Uruguay,SUI,Switzerland,3,0
1924-06-14,AUS,Australia,CAN,Canada,0,1
1924-06-15,NOR,Norway,GER,Germany,0,2
1924-06-22,AUT,Austria,EGY,Egypt,3,1
1924-06-23,AUS,Australia,CAN,Canada,4,1
1924-06-28,AUS,Australia,CAN,Canada,0,0
1924-06-29,SWE,Sweden,EGY,Egypt,5,0
1924-07-12,AUS,Australia,CAN,Canada,1,4
1924-07-26,AUS,Australia,CAN,Canada,1,0
1924-08-31,GER,Germany,SWE,Sweden,1,4
1924-09-21,SWE,Sweden,NOR,Norway,6,1
1924-09-21,URU,Uruguay,ARG,Argentina,1,1
1924-10-02,ARG,Argentina,URU,Uruguay,2,1
1924-10-12,ARG,Argentina,PAR,Paraguay,0,0
1924-10-26,URU,Uruguay,PAR,Paraguay,3,1
1924-11-02,NED,Netherlands,RSA,South Africa,2,1
1924-11-02,URU,Uruguay,ARG,Argentina,0,0
1924-11-09,AUT,Austria,SWE,Sweden,1,1
1924-11-11,BEL,Belgium,FRA,France,3,0
1924-12-08,ENG,England,BEL,Belgium,4,0
1924-12-14,GER,Germany,SUI,Switzerland,1,1
1924-12-21,ESP,Spain,AUT,Austria,2,1
1925-03-15,BEL,Belgium,NED,Netherlands,0,1
1925-03-22,AUT,Austria,SUI,Switzerland,2,0
1925-03-29,NED,Netherlands,GER,Germany,2,1
1925-04-04,SCO,Scotland,ENG,England,2,0
1925-04-19,FRA,France,AUT,Austria,0,4
1925-04-19,SUI,Switzerland,NED,Netherlands,4,1
1925-05-03,NED,Netherlands,BEL,Belgium,5,0
1925-05-21,FRA,France,ENG,England,2,3
1925-05-24,SUI,Switzerland,BEL,Belgium,0,0
1925-06-01,SUI,Switzerland,ESP,Spain,0,3
1925-06-21,SWE,Sweden,GER,Germany,1,0
1925-06-27,CAN,Canada,USA,United States,1,0
1925-07-05,SWE,Sweden,AUT,Austria,2,4
1925-07-09,ARG,Argentina,PAR,Paraguay,1,1
1925-07-12,ARG,Argentina,PAR,Paraguay,1,1
1925-07-14,URU,Uruguay,PAR,Paraguay,0,1
1925-07-18,URU,Uruguay,PAR,Paraguay,0,1
1925-08-15,PAR,Paraguay,URU,Uruguay,1,0
1925-08-19,PAR,Paraguay,URU,Uruguay,0,1
1925-08-23,NOR,Norway,SWE,Sweden,3,7
1925-08-23,PAR,Paraguay,URU,Uruguay,0,0
1925-09-27,AUT,Austria,ESP,Spain,0,1
1925-10-25,SUI,Switzerland,GER,Germany,0,4
1925-11-08,SUI,Switzerland,AUT,Austria,2,0
1925-11-08,USA,United States,CAN,Canada,6,1
1925-11-29,ARG,Argentina,PAR,Paraguay,2,0
1925-12-06,BRA,Brazil,PAR,Paraguay,5,2
1925-12-13,ARG,Argentina,BRA,Brazil,4,1
1925-12-13,BEL,Belgium,AUT,Austria,3,4
1925-12-17,BRA,Brazil,PAR,Paraguay,3,1
1925-12-20,ARG,Argentina,PAR,Paraguay,3,1
1925-12-25,ARG,Argentina,BRA,Brazil,2,2
1926-01-24,HAI,Haiti,CUW,Curaçao,1,1
1926-01-31,HAI,Haiti,CUW,Curaçao,0,1
1926-02-07,HAI,Haiti,CUW,Curaçao,2,1
1926-02-14,HAI,Haiti,CUW,Curaçao,2,2
1926-03-14,BEL,Belgium,NED,Netherlands,1,1
1926-03-28,NED,Netherlands,SUI,Switzerland,5,0
1926-04-11,FRA,France,BEL,Belgium,4,3
1926-04-17,ENG,England,SCO,Scotland,0,1
1926-04-18,FRA,France,POR,Portugal,4,2
1926-04-18,GER,Germany,NED,Netherlands,4,2
1926-04-25,FRA,France,SUI,Switzerland,1,0
1926-05-02,NED,Netherlands,BEL,Belgium,1,5
1926-05-24,BEL,Belgium,ENG,England,3,5
1926-05-29,ARG,Argentina,PAR,Paraguay,2,1
1926-05-30,AUT,Austria,FRA,France,4,1
1926-06-03,ARG,Argentina,PAR,Paraguay,2,1
1926-06-09,SWE,Sweden,NOR,Norway,3,2
1926-06-20,BEL,Belgium,FRA,France,2,2
1926-06-20,GER,Germany,SWE,Sweden,3,3
1926-10-10,AUT,Austria,SUI,Switzerland,7,1
1926-10-20,ARG,Argentina,PAR,Paraguay,8,0
1926-10-24,ARG,Argentina,URU,Uruguay,0,2
1926-10-31,NED,Netherlands,GER,Germany,2,3
1926-11-01,PAR,Paraguay,URU,Uruguay,1,6
1926-11-06,USA,United States,CAN,Canada,6,2
1926-11-07,AUT,Austria,SWE,Sweden,3,1
1926-12-12,GER,Germany,SUI,Switzerland,2,3
1927-03-13,BEL,Belgium,NED,Netherlands,2,0
1927-03-16,POR,Portugal,FRA,France,4,0
1927-04-02,SCO,Scotland,ENG,England,1,2
1927-04-03,BEL,Belgium,SWE,Sweden,2,1
1927-04-17,ESP,Spain,SUI,Switzerland,1,0
1927-05-01,NED,Netherlands,BEL,Belgium,3,2
1927-05-11,BEL,Belgium,ENG,England,1,9
1927-05-22,AUT,Austria,BEL,Belgium,4,1
1927-05-22,FRA,France,ESP,Spain,1,4
1927-05-26,FRA,France,ENG,England,0,6
1927-05-29,SUI,Switzerland,AUT,Austria,1,4
1927-06-25,NZL,New Zealand,CAN,Canada,2,2
1927-06-26,NOR,Norway,SWE,Sweden,3,5
1927-07-02,NZL,New Zealand,CAN,Canada,1,2
1927-07-09,NZL,New Zealand,CAN,Canada,1,0
1927-07-14,URU,Uruguay,ARG,Argentina,0,1
1927-07-23,NZL,New Zealand,CAN,Canada,1,4
1927-08-30,ARG,Argentina,URU,Uruguay,0,1
1927-09-04,SWE,Sweden,BEL,Belgium,7,0
1927-10-23,GER,Germany,NOR,Norway,6,2
1927-11-06,SUI,Switzerland,SWE,Sweden,2,2
1927-11-13,NED,Netherlands,SWE,Sweden,1,0
1927-11-20,ARG,Argentina,URU,Uruguay,3,2
1927-11-20,GER,Germany,NED,Netherlands,2,2
1928-01-08,BEL,Belgium,AUT,Austria,1,2
1928-01-08,POR,Portugal,ESP,Spain,2,2
1928-03-11,NED,Netherlands,BEL,Belgium,1,1
1928-03-11,SUI,Switzerland,FRA,France,4,3
1928-03-31,ENG,England,SCO,Scotland,1,5
1928-04-01,BEL,Belgium,NED,Netherlands,1,0
1928-04-01,POR,Portugal,ARG,Argentina,0,0
1928-04-15,FRA,France,BEL,Belgium,2,3
1928-04-15,SUI,Switzerland,GER,Germany,2,3
1928-04-29,FRA,France,POR,Portugal,1,1
1928-05-06,SUI,Switzerland,NED,Netherlands,2,1
1928-05-17,FRA,France,ENG,England,1,5
1928-05-19,BEL,Belgium,ENG,England,1,3
1928-05-28,GER,Germany,SUI,Switzerland,4,0
1928-05-28,EGY,Egypt,TUR,Turkey,7,1
1928-05-29,ARG,Argentina,USA,United States,11,2
1928-05-30,ESP,Spain,MEX,Mexico,7,1
1928-05-30,NED,Netherlands,URU,Uruguay,0,2
1928-06-02,ARG,Argentina,BEL,Belgium,6,3
1928-06-03,URU,Uruguay,GER,Germany,4,1
1928-06-04,EGY,Egypt,POR,Portugal,2,1
1928-06-05,NED,Netherlands,BEL,Belgium,3,1
1928-06-06,ARG,Argentina,EGY,Egypt,6,0
1928-06-07,SWE,Sweden,NOR,Norway,6,1
1928-06-10,URU,Uruguay,ARG,Argentina,1,1
1928-06-13,URU,Uruguay,ARG,Argentina,2,1
1928-06-14,NED,Netherlands,EGY,Egypt,1,2
1928-07-29,SWE,Sweden,AUT,Austria,2,3
1928-08-15,PAR,Paraguay,URU,Uruguay,3,1
1928-08-19,PAR,Paraguay,URU,Uruguay,1,1
1928-08-30,ARG,Argentina,URU,Uruguay,1,0
1928-09-21,URU,Uruguay,ARG,Argentina,2,2
1928-09-23,NOR,Norway,GER,Germany,0,2
1928-09-30,SWE,Sweden,GER,Germany,2,0
1928-10-28,AUT,Austria,SUI,Switzerland,2,0
1928-11-04,NED,Netherlands,BEL,Belgium,1,1
1929-02-10,GER,Germany,SUI,Switzerland,7,1
1929-03-17,NED,Netherlands,SUI,Switzerland,3,2
1929-03-17,ESP,Spain,POR,Portugal,5,0
1929-03-24,FRA,France,POR,Portugal,2,0
1929-04-13,SCO,Scotland,ENG,England,1,0
