date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
2001-03-28,POR,Portugal,NED,Netherlands,2,2
2001-03-28,ESP,Spain,FRA,France,2,1
2001-03-28,URU,Uruguay,PAR,Paraguay,0,1
2001-04-05,HAI,Haiti,PAN,Panama,1,1
2001-04-07,HAI,Haiti,PAN,Panama,0,0
2001-04-21,SEN,Senegal,ALG,Algeria,3,0
2001-04-24,ECU,Ecuador,PAR,Paraguay,2,1
2001-04-24,EGY,Egypt,CAN,Canada,3,0
2001-04-24,IRN,Iran,KOR,South Korea,0,1
2001-04-24,PAN,Panama,HAI,Haiti,2,0
2001-04-25,CZE,Czech Republic,BEL,Belgium,1,1
2001-04-25,FRA,France,POR,Portugal,4,0
2001-04-25,ESP,Spain,JPN,Japan,1,0
2001-04-25,SUI,Switzerland,SWE,Sweden,0,2
2001-04-26,CAN,Canada,IRN,Iran,1,0
2001-04-26,EGY,Egypt,KOR,South Korea,1,2
2001-04-27,UZB,Uzbekistan,JOR,Jordan,2,2
2001-05-04,ALG,Algeria,MAR,Morocco,1,2
2001-05-06,EGY,Egypt,SEN,Senegal,1,0
2001-05-07,JOR,Jordan,UZB,Uzbekistan,1,1
2001-05-20,TUN,Tunisia,CIV,Ivory Coast,1,1
2001-05-25,ENG,England,MEX,Mexico,4,0
2001-05-30,KOR,South Korea,FRA,France,0,5
2001-05-30,MEX,Mexico,AUS,Australia,0,2
2001-05-31,JPN,Japan,CAN,Canada,3,0
2001-06-01,AUS,Australia,FRA,France,1,0
2001-06-01,KOR,South Korea,MEX,Mexico,2,1
2001-06-02,CAN,Canada,BRA,Brazil,0,0
2001-06-02,ESP,Spain,BIH,Bosnia and Herzegovina,4,1
2001-06-03,ARG,Argentina,COL,Colombia,3,0
2001-06-03,FRA,France,MEX,Mexico,4,0
2001-06-03,KOR,South Korea,AUS,Australia,1,0
2001-06-04,JPN,Japan,BRA,Brazil,0,0
2001-06-07,FRA,France,BRA,Brazil,2,1
2001-06-07,JPN,Japan,AUS,Australia,1,0
2001-06-07,USA,United States,ECU,Ecuador,0,0
2001-06-09,AUS,Australia,BRA,Brazil,1,0
2001-06-10,JPN,Japan,FRA,France,0,1
2001-06-17,CIV,Ivory Coast,EGY,Egypt,2,2
2001-06-20,NZL,New Zealand,AUS,Australia,0,2
2001-06-24,AUS,Australia,NZL,New Zealand,4,1
2001-06-30,BIH,Bosnia and Herzegovina,UZB,Uzbekistan,1,2
2001-06-30,MAR,Morocco,EGY,Egypt,1,0
